CheckOutID,ItemID,EmployeeID,CustomerID,CheckedOutOn
240,614,93,7,11/29/2020 13:51
241,493,151,85,1/2/2021 21:39
242,748,82,116,9/1/2021 4:50
243,996,139,194,7/7/2021 16:37
244,912,76,115,12/19/2020 7:05
245,191,137,66,12/10/2020 5:24
246,702,92,29,5/28/2021 2:51
247,584,18,72,12/26/2020 22:40
248,866,166,151,12/28/2020 22:51
249,688,108,103,12/2/2020 12:12
250,402,126,182,5/6/2021 17:59
251,913,177,162,7/11/2021 14:54
252,912,186,63,12/18/2020 8:53
253,586,143,91,4/15/2021 1:58
254,872,65,188,6/10/2021 20:52
255,73,174,70,1/31/2021 4:25
256,236,43,78,4/27/2021 20:42
257,675,163,137,5/8/2021 19:20
258,818,43,139,3/15/2021 11:03
259,976,18,108,7/5/2021 23:00
260,987,200,82,8/24/2021 20:48
261,682,120,180,4/3/2021 20:55
262,505,7,120,5/27/2021 10:01
263,668,171,108,7/4/2021 18:17
264,150,14,45,8/8/2021 8:35
265,790,5,105,12/30/2020 20:17
266,739,191,12,9/13/2021 0:08
267,967,81,180,5/24/2021 22:13
268,61,187,93,8/3/2021 22:41
269,435,128,25,3/11/2021 5:33
270,76,194,171,3/24/2021 11:17
271,147,129,125,7/11/2021 23:46
272,292,39,48,5/28/2021 9:47
273,677,185,135,6/28/2021 22:51
274,981,139,157,10/20/2021 12:16
275,171,142,115,1/2/2021 0:59
276,409,41,73,9/26/2021 7:48
277,774,103,103,2/28/2021 1:05
278,361,48,137,3/11/2021 21:10
279,810,97,101,7/10/2021 19:09
280,744,14,5,2/4/2021 10:49
281,120,147,172,9/1/2021 16:37
282,189,68,64,11/27/2021 11:21
283,592,70,164,11/30/2020 18:41
284,731,58,115,12/14/2020 3:38
285,587,45,5,12/18/2020 3:45
286,338,134,72,8/28/2021 13:46
287,958,148,122,11/26/2021 17:46
288,976,39,127,10/31/2021 0:05
289,824,180,133,3/20/2021 20:34
290,185,135,83,11/19/2021 17:14
291,2,19,35,4/2/2021 2:20
292,410,149,97,3/26/2021 3:19
293,341,110,83,11/28/2021 21:20
294,934,171,176,4/7/2021 11:49
295,424,177,81,9/2/2021 3:04
296,856,137,120,3/19/2021 7:36
297,416,173,2,1/5/2021 23:21
298,948,63,10,6/11/2021 0:40
299,767,18,197,1/27/2021 16:30
300,432,103,129,12/1/2020 7:27
301,775,175,79,6/28/2021 21:20
302,177,193,16,9/27/2021 14:19
303,974,97,63,7/28/2021 16:00
304,711,105,119,4/12/2021 21:02
305,20,198,171,2/9/2021 8:51
306,533,185,55,6/9/2021 1:06
307,527,191,62,3/8/2021 1:56
308,883,42,134,10/4/2021 10:22
309,234,57,114,5/4/2021 8:40
310,638,148,51,1/24/2021 4:13
311,357,61,27,5/6/2021 0:47
312,13,119,104,7/18/2021 10:36
313,387,19,24,12/20/2020 20:22
314,163,68,18,10/20/2021 18:02
315,409,35,190,9/29/2021 9:41
316,463,46,155,6/20/2021 20:14
317,721,197,82,10/21/2021 14:21
318,399,163,43,12/31/2020 6:51
319,907,131,197,3/10/2021 18:05
320,100,133,64,7/6/2021 18:52
321,345,192,188,3/12/2021 14:19
322,912,55,181,7/23/2021 14:20
323,271,58,2,6/21/2021 13:17
324,73,14,130,8/26/2021 16:08
325,319,168,93,7/15/2021 3:16
326,471,12,51,3/2/2021 13:53
327,523,25,43,3/30/2021 3:56
328,576,55,26,10/24/2021 7:57
329,142,3,24,2/18/2021 21:23
330,357,27,7,8/14/2021 9:15
331,735,185,77,9/20/2021 0:40
332,129,84,143,4/26/2021 0:26
333,105,11,19,10/17/2021 21:42
334,2,45,118,7/31/2021 20:07
335,878,97,150,7/12/2021 4:33
336,279,152,38,12/2/2020 22:43
337,190,185,17,8/26/2021 12:36
338,7,161,88,8/16/2021 13:06
339,835,107,76,3/20/2021 6:39
340,735,190,156,9/6/2021 5:28
341,497,148,163,4/9/2021 11:31
342,913,110,153,11/25/2021 13:39
343,518,178,164,7/24/2021 11:22
344,259,57,133,5/25/2021 21:21
345,160,124,26,4/8/2021 0:56
346,928,5,24,10/26/2021 9:54
347,66,14,66,8/17/2021 18:30
348,106,13,71,3/21/2021 9:37
349,905,42,86,8/20/2021 8:42
350,133,175,77,2/25/2021 2:03
351,577,76,146,7/19/2021 23:58
352,755,125,141,7/8/2021 20:37
353,537,144,85,7/21/2021 12:00
354,849,81,99,11/14/2021 1:07
355,513,72,148,9/12/2021 21:27
356,183,22,192,5/26/2021 13:50
357,699,108,156,5/17/2021 20:58
358,560,89,88,6/8/2021 22:55
359,955,191,73,2/1/2021 17:26
360,132,105,98,5/30/2021 19:54
361,902,110,149,12/13/2020 22:53
362,126,164,107,4/26/2021 13:52
363,346,89,180,3/12/2021 22:03
364,696,13,110,4/9/2021 7:29
365,567,69,105,3/2/2021 8:44
366,492,23,18,8/22/2021 14:40
367,110,189,30,3/9/2021 19:23
368,921,69,4,3/21/2021 14:29
369,76,37,132,6/24/2021 0:45
370,775,140,88,6/5/2021 22:48
371,702,122,89,12/4/2020 22:03
372,146,106,104,2/28/2021 16:28
373,939,118,136,4/2/2021 23:03
374,221,112,1,7/1/2021 1:22
375,227,134,191,4/29/2021 10:54
376,979,86,129,12/24/2020 3:53
377,747,174,38,4/30/2021 12:05
378,792,157,62,5/14/2021 7:34
379,431,150,35,2/21/2021 14:15
380,184,121,145,3/19/2021 23:41
381,66,91,3,8/24/2021 14:34
382,406,157,54,6/24/2021 9:24
383,860,198,173,2/22/2021 16:27
384,301,92,89,5/11/2021 21:57
385,904,116,151,10/21/2021 16:36
386,664,131,82,2/3/2021 1:03
387,99,183,51,9/9/2021 0:07
388,995,178,199,4/8/2021 15:46
389,122,3,125,10/13/2021 5:23
390,209,159,82,5/3/2021 1:13
391,213,117,21,10/15/2021 15:04
392,70,62,7,7/8/2021 8:45
393,193,31,83,5/26/2021 22:10
394,790,122,67,11/24/2021 2:40
395,340,185,171,6/26/2021 3:54
396,156,70,163,6/10/2021 20:31
397,124,190,54,11/18/2021 8:31
398,266,192,25,12/29/2020 0:12
399,974,6,102,7/19/2021 2:45
400,632,163,127,4/30/2021 12:41
401,666,105,118,12/12/2020 5:12
402,956,199,168,7/7/2021 21:08
403,453,6,24,2/12/2021 4:27
404,119,113,127,4/5/2021 16:41
405,329,78,151,12/8/2020 19:18
406,408,150,93,2/5/2021 17:01
407,27,85,29,7/14/2021 11:48
408,462,55,132,2/17/2021 22:18
409,853,130,160,12/21/2020 15:34
410,416,97,95,7/28/2021 3:37
411,805,164,5,1/29/2021 10:01
412,503,76,13,12/17/2020 19:17
413,499,55,152,1/4/2021 19:59
414,833,98,94,6/18/2021 7:27
415,37,159,12,1/9/2021 6:34
416,578,178,131,12/13/2020 8:39
417,950,16,124,11/18/2021 10:59
418,676,87,69,4/17/2021 17:29
419,67,124,9,3/27/2021 14:22
420,128,9,142,4/17/2021 2:34
421,774,130,163,5/17/2021 23:58
422,217,17,108,11/20/2021 8:21
423,450,150,189,10/27/2021 13:46
424,833,189,181,2/24/2021 4:58
425,259,180,77,8/29/2021 7:18
426,325,28,149,10/30/2021 22:01
427,823,33,110,5/27/2021 21:27
428,246,117,17,7/25/2021 11:25
429,989,148,63,12/21/2020 11:35
430,409,85,108,6/28/2021 18:35
431,380,185,49,5/9/2021 15:23
432,775,87,171,4/9/2021 11:21
433,401,30,99,9/10/2021 16:19
434,249,149,153,3/1/2021 23:29
435,911,68,53,8/14/2021 20:46
436,788,150,198,4/9/2021 7:49
437,972,200,89,1/18/2021 22:56
438,992,159,169,9/2/2021 12:47
439,889,91,114,1/14/2021 3:36
440,680,121,198,10/8/2021 15:45
441,579,110,137,2/28/2021 15:26
442,952,137,115,1/30/2021 22:08
443,875,132,185,8/13/2021 1:02
444,578,45,104,6/19/2021 12:52
445,2,10,95,1/21/2021 6:17
446,613,8,1,11/27/2021 4:20
447,909,16,40,6/18/2021 7:37
448,932,29,167,1/12/2021 15:46
449,16,142,185,3/2/2021 20:48
450,544,137,153,8/31/2021 12:41
451,321,10,115,9/30/2021 4:48
452,146,142,190,12/15/2020 0:48
453,656,55,161,3/30/2021 20:08
454,729,62,105,3/28/2021 9:20
455,103,95,193,2/9/2021 15:07
456,388,180,69,4/14/2021 11:43
457,422,122,196,9/2/2021 3:02
458,570,50,16,5/28/2021 2:36
459,440,127,196,5/29/2021 2:28
460,997,65,90,9/26/2021 17:20
461,478,118,6,12/30/2020 9:45
462,154,96,69,5/15/2021 0:54
463,303,54,2,10/26/2021 7:20
464,803,108,35,10/15/2021 3:13
465,287,138,57,2/13/2021 16:18
466,133,182,189,9/1/2021 2:21
467,456,62,125,3/4/2021 4:50
468,474,148,196,11/11/2021 16:47
469,186,145,31,2/8/2021 11:51
470,410,88,178,6/6/2021 13:30
471,855,40,63,3/27/2021 17:36
472,303,16,163,8/6/2021 11:04
473,672,190,49,6/11/2021 13:38
474,480,40,20,5/7/2021 16:18
475,442,61,43,8/26/2021 10:35
476,982,22,86,2/15/2021 15:44
477,271,110,20,5/7/2021 10:40
478,11,75,59,2/9/2021 17:04
479,72,194,99,2/15/2021 21:48
480,23,151,65,4/18/2021 18:11
481,244,197,56,9/6/2021 6:19
482,903,11,93,6/20/2021 6:16
483,488,192,55,10/27/2021 4:11
484,835,184,55,1/30/2021 12:02
485,940,163,49,10/6/2021 4:56
486,219,97,70,3/8/2021 9:54
487,775,183,131,7/3/2021 4:22
488,555,139,138,5/6/2021 21:57
489,359,127,85,9/15/2021 19:14
490,124,99,86,8/8/2021 11:23
491,350,154,151,3/15/2021 2:59
492,154,115,70,1/29/2021 11:33
493,33,123,169,9/2/2021 13:02
494,220,106,61,9/20/2021 6:04
495,502,70,121,4/10/2021 9:37
496,124,86,74,8/27/2021 1:54
497,754,127,14,1/13/2021 2:35
498,142,199,40,5/31/2021 14:10
499,617,195,66,11/23/2021 10:42
500,744,35,43,12/26/2020 1:04
501,25,157,75,4/27/2021 15:10
502,853,44,92,1/25/2021 19:16
503,778,147,62,5/20/2021 4:30
504,112,132,130,1/25/2021 22:57
505,384,72,38,9/23/2021 19:53
506,601,137,93,11/27/2021 17:41
507,88,192,3,9/3/2021 15:16
508,562,166,40,1/13/2021 1:06
509,347,169,20,10/26/2021 0:23
510,124,82,185,2/19/2021 20:47
511,724,78,18,6/21/2021 6:51
512,698,148,160,10/10/2021 17:27
513,689,147,8,12/1/2020 8:16
514,835,45,57,4/30/2021 19:32
515,552,27,88,7/11/2021 2:41
516,726,200,131,6/12/2021 13:56
517,294,198,38,7/28/2021 0:59
518,878,88,161,10/16/2021 1:20
519,145,110,23,4/26/2021 13:16
520,698,69,140,11/16/2021 11:01
521,988,59,176,4/18/2021 0:42
522,928,129,94,2/17/2021 9:04
523,428,136,62,1/23/2021 0:26
524,257,88,32,12/8/2020 21:34
525,978,49,64,8/25/2021 20:13
526,82,118,143,11/12/2021 1:47
527,861,95,23,6/23/2021 15:37
528,47,133,182,8/2/2021 5:00
529,565,97,194,3/18/2021 13:46
530,38,182,155,4/23/2021 11:23
531,626,86,25,8/12/2021 12:25
532,246,27,187,9/30/2021 18:18
533,119,15,129,7/31/2021 15:32
534,783,182,16,9/3/2021 12:15
535,368,189,15,2/20/2021 8:35
536,225,100,48,3/7/2021 14:27
537,208,28,176,8/24/2021 11:30
538,185,192,49,8/29/2021 1:32
539,736,75,9,2/19/2021 16:30
540,616,181,142,1/25/2021 14:10
541,231,85,49,7/9/2021 5:41
542,150,119,49,1/16/2021 18:37
543,736,118,98,9/12/2021 13:13
544,730,100,40,2/14/2021 3:47
545,312,148,141,12/11/2020 10:33
546,127,89,28,10/13/2021 14:47
547,441,86,200,3/29/2021 2:19
548,253,121,186,8/21/2021 23:41
549,196,149,116,8/4/2021 17:11
550,682,64,77,2/23/2021 18:19
551,766,128,41,10/28/2021 18:59
552,507,107,7,3/13/2021 16:02
553,662,172,147,4/22/2021 21:41
554,498,186,21,2/23/2021 12:17
555,863,43,151,8/1/2021 18:48
556,512,110,134,5/13/2021 13:19
557,599,126,186,12/31/2020 18:47
558,254,118,2,10/20/2021 9:52
559,16,125,3,3/13/2021 5:13
560,414,11,163,8/11/2021 12:15
561,895,56,94,5/30/2021 16:49
562,890,53,122,7/2/2021 10:05
563,938,81,168,11/12/2021 17:54
564,378,6,126,1/13/2021 7:51
565,892,93,22,12/1/2020 4:47
566,550,145,59,4/3/2021 13:16
567,593,99,133,12/16/2020 16:59
568,389,59,146,2/13/2021 13:47
569,554,112,191,3/19/2021 11:29
570,265,94,128,7/21/2021 7:15
571,825,153,2,7/25/2021 17:44
572,225,49,51,7/29/2021 14:50
573,314,200,84,4/29/2021 12:55
574,890,119,107,12/6/2020 0:09
575,781,82,107,6/29/2021 14:48
576,401,148,152,12/5/2020 2:01
577,37,82,143,1/18/2021 10:53
578,333,197,136,3/10/2021 8:30
579,693,193,179,1/4/2021 23:02
580,614,78,35,3/3/2021 0:52
581,454,159,197,11/26/2021 0:40
582,591,171,10,3/12/2021 8:33
583,330,190,4,3/5/2021 13:44
584,318,142,150,8/2/2021 10:23
585,966,113,53,12/25/2020 3:32
586,485,146,11,1/5/2021 19:42
587,650,59,34,10/3/2021 3:44
588,812,84,103,12/22/2020 21:26
589,122,28,111,8/30/2021 22:18
590,114,71,53,9/12/2021 7:51
591,537,43,163,6/1/2021 19:33
592,669,117,38,1/16/2021 21:36
593,709,9,9,5/13/2021 18:32
594,742,109,84,9/19/2021 16:55
595,629,64,177,7/27/2021 15:31
596,843,30,5,11/28/2021 9:38
597,340,35,131,7/29/2021 6:45
598,98,151,142,11/21/2021 4:54
599,661,27,63,11/30/2020 20:49
600,34,27,9,5/10/2021 4:07
601,988,106,164,1/23/2021 22:29
602,253,138,175,4/11/2021 0:25
603,183,91,125,4/23/2021 20:25
604,615,47,98,4/7/2021 16:32
605,173,190,135,11/29/2020 2:16
606,25,10,10,10/24/2021 19:43
607,715,69,8,9/15/2021 3:16
608,381,152,51,6/12/2021 7:38
609,826,71,179,1/1/2021 17:43
610,359,55,14,4/21/2021 19:01
611,807,135,61,11/29/2020 23:20
612,36,161,196,2/22/2021 11:25
613,55,150,172,6/11/2021 1:05
614,208,194,120,2/21/2021 18:54
615,265,82,121,12/23/2020 6:38
616,392,158,113,10/10/2021 7:11
617,701,73,2,5/15/2021 6:51
618,518,148,122,11/27/2021 9:51
619,704,151,5,9/2/2021 7:43
620,614,12,37,3/14/2021 2:38
621,171,67,2,1/18/2021 15:30
622,717,69,197,4/11/2021 19:31
623,266,148,76,5/8/2021 10:19
624,126,172,126,10/16/2021 17:15
625,31,106,108,12/2/2020 11:55
626,578,97,96,5/24/2021 15:21
627,432,161,56,10/1/2021 21:25
628,663,119,175,12/6/2020 14:21
629,418,6,144,3/20/2021 15:01
630,445,37,55,10/19/2021 8:50
631,526,38,25,4/21/2021 18:13
632,604,41,155,9/19/2021 6:20
633,667,69,135,6/6/2021 5:47
634,68,43,12,9/25/2021 2:17
635,552,198,166,10/14/2021 21:24
636,432,108,44,5/24/2021 23:52
637,256,21,140,1/23/2021 21:34
638,146,4,140,5/31/2021 13:08
639,356,103,13,9/10/2021 23:17
640,856,27,73,4/3/2021 21:00
641,53,68,102,10/27/2021 5:50
642,690,198,196,5/11/2021 12:04
643,87,168,16,8/30/2021 11:09
644,676,111,175,5/11/2021 5:41
645,568,42,62,10/2/2021 7:06
646,140,11,36,12/27/2020 9:52
647,673,160,111,3/12/2021 23:00
648,555,191,13,8/18/2021 18:13
649,978,199,171,7/29/2021 4:00
650,664,92,105,8/25/2021 15:53
651,971,159,51,6/19/2021 8:28
652,430,62,86,2/19/2021 10:58
653,921,46,79,8/26/2021 23:08
654,222,155,151,5/6/2021 9:18
655,603,100,61,10/28/2021 4:09
656,467,124,70,8/4/2021 22:42
657,741,194,197,10/31/2021 12:22
658,123,97,62,6/23/2021 17:38
659,880,137,58,2/15/2021 18:36
660,846,34,119,8/11/2021 17:53
661,782,65,25,11/18/2021 0:18
662,478,127,128,2/26/2021 14:17
663,613,182,111,2/5/2021 7:43
664,743,85,178,5/26/2021 23:39
665,61,74,80,12/19/2020 4:35
666,317,98,187,11/4/2021 9:44
667,256,9,126,9/9/2021 5:29
668,980,24,46,3/3/2021 4:36
669,473,142,24,8/30/2021 18:16
670,235,41,77,2/26/2021 5:10
671,911,147,197,6/11/2021 22:13
672,299,174,43,7/14/2021 11:17
673,56,82,186,11/30/2020 0:42
674,865,42,127,12/2/2020 12:17
675,858,171,118,5/5/2021 12:38
676,129,45,10,4/21/2021 11:17
677,282,11,147,12/1/2020 19:29
678,130,69,105,2/8/2021 10:57
679,851,80,183,12/23/2020 1:07
680,928,130,119,4/7/2021 8:09
681,645,182,52,8/19/2021 3:17
682,933,155,190,11/10/2021 1:48
683,434,57,110,6/22/2021 23:35
684,365,71,172,6/24/2021 5:26
685,118,91,149,4/15/2021 2:02
686,474,170,184,6/13/2021 11:08
687,297,54,150,10/2/2021 18:52
688,109,58,173,1/1/2021 0:47
689,388,184,145,8/29/2021 4:41
690,793,5,29,12/2/2020 4:37
691,577,167,167,4/13/2021 18:12
692,108,197,66,7/5/2021 3:06
693,962,1,123,7/29/2021 6:42
694,263,63,194,4/19/2021 2:00
695,922,12,166,1/7/2021 3:31
696,212,14,52,5/29/2021 4:38
697,829,23,16,11/23/2021 14:46
698,357,153,13,2/19/2021 16:05
699,920,193,81,9/10/2021 1:19
700,419,63,173,9/10/2021 20:58
701,134,108,165,5/3/2021 0:25
702,962,22,146,7/27/2021 15:22
703,746,199,6,8/14/2021 4:09
704,90,77,37,3/16/2021 14:38
705,626,129,67,11/17/2021 11:31
706,294,7,128,7/24/2021 13:28
707,303,25,73,9/10/2021 10:11
708,128,10,63,7/13/2021 6:38
709,988,127,143,12/3/2020 6:41
710,217,176,181,4/1/2021 17:35
711,270,154,42,3/14/2021 14:32
712,829,180,20,10/4/2021 15:59
713,98,122,21,9/16/2021 14:21
714,166,41,22,5/15/2021 19:40
715,986,38,21,7/17/2021 18:39
716,617,108,102,10/10/2021 12:27
717,49,93,20,5/24/2021 23:29
718,994,56,27,8/25/2021 22:04
719,651,40,26,1/22/2021 23:59
720,446,59,147,1/27/2021 6:05
721,336,76,122,11/4/2021 12:05
722,196,178,148,12/7/2020 10:07
723,518,133,183,10/13/2021 14:50
724,720,64,116,9/4/2021 13:20
725,91,166,85,3/28/2021 23:12
726,788,172,12,10/2/2021 4:39
727,287,158,70,3/19/2021 14:52
728,461,194,131,3/9/2021 11:14
729,575,185,119,4/11/2021 0:44
730,842,16,82,6/14/2021 2:16
731,540,179,102,12/26/2020 21:32
732,852,103,63,1/3/2021 15:21
733,226,22,130,3/22/2021 9:52
