CheckOutID,ItemID,EmployeeID,CustomerID
475,763,73,56
476,713,12,7
477,339,25,133
478,877,141,57
479,310,188,68
480,456,48,159
481,680,107,169
482,788,102,61
483,970,178,195
484,96,38,102
485,935,95,51
486,320,157,55
487,979,126,61
488,759,64,41
489,388,87,186
490,168,146,31
491,223,167,147
492,403,187,14
493,123,98,158
494,612,81,66
495,758,50,84
496,251,192,122
497,198,18,107
498,959,115,194
499,588,163,35
500,666,166,95
